worker_id,class,purpose,autonomy_level,permissions,dependencies,retry,timeout,failure_handling,health,audit,status
aslan-bey-orchestrator,SystemHealthWorker,Legacy health alias,L0,none,deterministic,yes,configurable,exception+audit,health-check,yes,PASS
category-bz.01,CategoryExpertWorker,Category intelligence for category-bz.01,L1-L2,"memory:read,memory:write,taxonomy:read",TaxonomyRegistry,yes,configurable,exception+audit,health-check,yes,PASS
category-bz.02,CategoryExpertWorker,Category intelligence for category-bz.02,L1-L2,"memory:read,memory:write,taxonomy:read",TaxonomyRegistry,yes,configurable,exception+audit,health-check,yes,PASS
category-bz.03,CategoryExpertWorker,Category intelligence for category-bz.03,L1-L2,"memory:read,memory:write,taxonomy:read",TaxonomyRegistry,yes,configurable,exception+audit,health-check,yes,PASS
category-bz.04,CategoryExpertWorker,Category intelligence for category-bz.04,L1-L2,"memory:read,memory:write,taxonomy:read",TaxonomyRegistry,yes,configurable,exception+audit,health-check,yes,PASS
category-bz.05,CategoryExpertWorker,Category intelligence for category-bz.05,L1-L2,"memory:read,memory:write,taxonomy:read",TaxonomyRegistry,yes,configurable,exception+audit,health-check,yes,PASS
category-bz.06,CategoryExpertWorker,Category intelligence for category-bz.06,L1-L2,"memory:read,memory:write,taxonomy:read",TaxonomyRegistry,yes,configurable,exception+audit,health-check,yes,PASS
category-bz.07,CategoryExpertWorker,Category intelligence for category-bz.07,L1-L2,"memory:read,memory:write,taxonomy:read",TaxonomyRegistry,yes,configurable,exception+audit,health-check,yes,PASS
category-bz.08,CategoryExpertWorker,Category intelligence for category-bz.08,L1-L2,"memory:read,memory:write,taxonomy:read",TaxonomyRegistry,yes,configurable,exception+audit,health-check,yes,PASS
category-bz.09,CategoryExpertWorker,Category intelligence for category-bz.09,L1-L2,"memory:read,memory:write,taxonomy:read",TaxonomyRegistry,yes,configurable,exception+audit,health-check,yes,PASS
category-bz.10,CategoryExpertWorker,Category intelligence for category-bz.10,L1-L2,"memory:read,memory:write,taxonomy:read",TaxonomyRegistry,yes,configurable,exception+audit,health-check,yes,PASS
category-bz.11,CategoryExpertWorker,Category intelligence for category-bz.11,L1-L2,"memory:read,memory:write,taxonomy:read",TaxonomyRegistry,yes,configurable,exception+audit,health-check,yes,PASS
category-bz.12,CategoryExpertWorker,Category intelligence for category-bz.12,L1-L2,"memory:read,memory:write,taxonomy:read",TaxonomyRegistry,yes,configurable,exception+audit,health-check,yes,PASS
category-bz.13,CategoryExpertWorker,Category intelligence for category-bz.13,L1-L2,"memory:read,memory:write,taxonomy:read",TaxonomyRegistry,yes,configurable,exception+audit,health-check,yes,PASS
category-bz.14,CategoryExpertWorker,Category intelligence for category-bz.14,L1-L2,"memory:read,memory:write,taxonomy:read",TaxonomyRegistry,yes,configurable,exception+audit,health-check,yes,PASS
category-bz.15,CategoryExpertWorker,Category intelligence for category-bz.15,L1-L2,"memory:read,memory:write,taxonomy:read",TaxonomyRegistry,yes,configurable,exception+audit,health-check,yes,PASS
category-bz.16,CategoryExpertWorker,Category intelligence for category-bz.16,L1-L2,"memory:read,memory:write,taxonomy:read",TaxonomyRegistry,yes,configurable,exception+audit,health-check,yes,PASS
category-bz.17,CategoryExpertWorker,Category intelligence for category-bz.17,L1-L2,"memory:read,memory:write,taxonomy:read",TaxonomyRegistry,yes,configurable,exception+audit,health-check,yes,PASS
category-bz.18,CategoryExpertWorker,Category intelligence for category-bz.18,L1-L2,"memory:read,memory:write,taxonomy:read",TaxonomyRegistry,yes,configurable,exception+audit,health-check,yes,PASS
