legacy_id,legacy_system,canonical_id,action,reason
shop-01,shop,bz.01,map,canonical root consolidation
shop-02,shop,bz.02,map,canonical root consolidation
shop-03,shop,bz.03,map,canonical root consolidation
shop-04,shop,bz.04,map,canonical root consolidation
shop-05,shop,bz.05,map,canonical root consolidation
shop-06,shop,bz.06,map,canonical root consolidation
shop-07,shop,bz.07,map,canonical root consolidation
shop-08,shop,bz.08,map,canonical root consolidation
shop-09,shop,bz.09,map,canonical root consolidation
shop-10,shop,bz.10,map,canonical root consolidation
shop-11,shop,bz.11,map,canonical root consolidation
shop-12,shop,bz.12,map,canonical root consolidation
shop-13,shop,bz.13,map,canonical root consolidation
shop-14,shop,bz.14,map,canonical root consolidation
shop-15,shop,bz.15,map,canonical root consolidation
shop-16,shop,bz.16,map,canonical root consolidation
shop-17,shop,bz.17,map,canonical root consolidation
shop-18,shop,bz.18,map,canonical root consolidation
shop-19,shop,bz.19,map,canonical root consolidation
shop-20,shop,bz.20,map,canonical root consolidation
shop-21,shop,bz.21,map,canonical root consolidation
shop-22,shop,bz.22,map,canonical root consolidation
shop-23,shop,bz.23,map,canonical root consolidation
shop-24,shop,bz.24,map,canonical root consolidation
shop-25,shop,bz.25,map,canonical root consolidation
shop-26,shop,bz.26,map,canonical root consolidation
shop-27,shop,bz.27,map,canonical root consolidation
shop-28,shop,bz.28,map,canonical root consolidation
shop-29,shop,bz.29,map,canonical root consolidation
shop-30,shop,bz.30,map,canonical root consolidation
shop-31,shop,bz.31,map,canonical root consolidation
shop-32,shop,bz.32,map,canonical root consolidation
shop-33,shop,bz.33,map,canonical root consolidation
shop-34,shop,bz.34,map,canonical root consolidation
shop-35,shop,bz.35,map,canonical root consolidation
shop-36,shop,bz.36,map,canonical root consolidation
shop-37,shop,bz.37,map,canonical root consolidation
shop-38,shop,bz.38,map,canonical root consolidation
shop-39,shop,bz.39,map,canonical root consolidation
shop-40,shop,bz.40,map,canonical root consolidation
shop-41,shop,bz.43,map,canonical root consolidation
intelligence.01,intelligence,bz.01,map,canonical root consolidation
intelligence.02,intelligence,bz.02,map,canonical root consolidation
intelligence.03,intelligence,bz.03,map,canonical root consolidation
intelligence.04,intelligence,bz.04,map,canonical root consolidation
intelligence.05,intelligence,bz.05,map,canonical root consolidation
intelligence.06,intelligence,bz.06,map,canonical root consolidation
intelligence.07,intelligence,bz.07,map,canonical root consolidation
intelligence.08,intelligence,bz.08,map,canonical root consolidation
intelligence.09,intelligence,bz.09,map,canonical root consolidation
intelligence.10,intelligence,bz.10,map,canonical root consolidation
intelligence.11,intelligence,bz.11,map,canonical root consolidation
intelligence.12,intelligence,bz.12,map,canonical root consolidation
intelligence.13,intelligence,bz.13,map,canonical root consolidation
intelligence.14,intelligence,bz.14,map,canonical root consolidation
intelligence.15,intelligence,bz.15,map,canonical root consolidation
intelligence.16,intelligence,bz.16,map,canonical root consolidation
intelligence.17,intelligence,bz.17,map,canonical root consolidation
intelligence.18,intelligence,bz.18,map,canonical root consolidation
intelligence.19,intelligence,bz.19,map,canonical root consolidation
intelligence.20,intelligence,bz.20,map,canonical root consolidation
intelligence.21,intelligence,bz.21,map,canonical root consolidation
intelligence.22,intelligence,bz.22,map,canonical root consolidation
intelligence.23,intelligence,bz.23,map,canonical root consolidation
intelligence.24,intelligence,bz.24,map,canonical root consolidation
intelligence.25,intelligence,bz.25,map,canonical root consolidation
intelligence.26,intelligence,bz.26,map,canonical root consolidation
intelligence.27,intelligence,bz.27,map,canonical root consolidation
intelligence.28,intelligence,bz.28,map,canonical root consolidation
intelligence.29,intelligence,bz.29,map,canonical root consolidation
intelligence.30,intelligence,bz.30,map,canonical root consolidation
intelligence.31,intelligence,bz.31,map,canonical root consolidation
intelligence.32,intelligence,bz.32,map,canonical root consolidation
intelligence.33,intelligence,bz.33,map,canonical root consolidation
intelligence.34,intelligence,bz.34,map,canonical root consolidation
intelligence.35,intelligence,bz.35,map,canonical root consolidation
intelligence.36,intelligence,bz.36,map,canonical root consolidation
intelligence.37,intelligence,bz.37,map,canonical root consolidation
intelligence.38,intelligence,bz.38,map,canonical root consolidation
intelligence.39,intelligence,bz.39,map,canonical root consolidation
intelligence.40,intelligence,bz.40,map,canonical root consolidation
intelligence.41,intelligence,bz.41,map,canonical root consolidation
intelligence.42,intelligence,bz.42,map,canonical root consolidation
intelligence.43,intelligence,bz.43,map,canonical root consolidation
