id,parent_id,level,name,slug
01,,1,Automotive,automotive
01.01,01,2,Motor & Kühlung,automotive/motor-und-kuehlung
01.01.01,01.01,3,Motorenteile,automotive/motor-und-kuehlung/motorenteile
01.01.02,01.01,3,Dichtungen & Simmerringe,automotive/motor-und-kuehlung/dichtungen-und-simmerringe
01.01.03,01.01,3,Zylinderkopf & Ventiltrieb,automotive/motor-und-kuehlung/zylinderkopf-und-ventiltrieb
01.01.04,01.01,3,Kühlung,automotive/motor-und-kuehlung/kuehlung
01.01.05,01.01,3,Thermostate,automotive/motor-und-kuehlung/thermostate
01.01.06,01.01,3,Wasserpumpen,automotive/motor-und-kuehlung/wasserpumpen
01.01.07,01.01,3,Ladeluftsystem,automotive/motor-und-kuehlung/ladeluftsystem
01.01.08,01.01,3,Turbolader,automotive/motor-und-kuehlung/turbolader
01.01.09,01.01,3,Motorlager,automotive/motor-und-kuehlung/motorlager
01.02,01,2,Bremsanlage,automotive/bremsanlage
01.02.01,01.02,3,Bremsbeläge,automotive/bremsanlage/bremsbelaege
01.02.02,01.02,3,Bremsscheiben,automotive/bremsanlage/bremsscheiben
01.02.03,01.02,3,Bremssättel,automotive/bremsanlage/bremssaettel
01.02.04,01.02,3,Bremsleitungen,automotive/bremsanlage/bremsleitungen
01.02.05,01.02,3,Bremszylinder,automotive/bremsanlage/bremszylinder
01.02.06,01.02,3,Bremskraftverstärker,automotive/bremsanlage/bremskraftverstaerker
01.02.07,01.02,3,ABS/ESP,automotive/bremsanlage/abs-esp
01.02.08,01.02,3,Verschleißsensoren,automotive/bremsanlage/verschleisssensoren
01.02.09,01.02,3,Bremszubehör,automotive/bremsanlage/bremszubehoer
01.03,01,2,Fahrwerk & Lenkung,automotive/fahrwerk-und-lenkung
01.03.01,01.03,3,Stoßdämpfer,automotive/fahrwerk-und-lenkung/stossdaempfer
01.03.02,01.03,3,Federn,automotive/fahrwerk-und-lenkung/federn
01.03.03,01.03,3,Querlenker,automotive/fahrwerk-und-lenkung/querlenker
01.03.04,01.03,3,Koppelstangen,automotive/fahrwerk-und-lenkung/koppelstangen
01.03.05,01.03,3,Radlager,automotive/fahrwerk-und-lenkung/radlager
01.03.06,01.03,3,Spurstangen,automotive/fahrwerk-und-lenkung/spurstangen
01.03.07,01.03,3,Lenkungsteile,automotive/fahrwerk-und-lenkung/lenkungsteile
01.03.08,01.03,3,Niveauregulierung,automotive/fahrwerk-und-lenkung/niveauregulierung
01.03.09,01.03,3,Luftfahrwerk,automotive/fahrwerk-und-lenkung/luftfahrwerk
01.04,01,2,Elektrik & Elektronik,automotive/elektrik-und-elektronik
01.04.01,01.04,3,Anlasser,automotive/elektrik-und-elektronik/anlasser
01.04.02,01.04,3,Lichtmaschine,automotive/elektrik-und-elektronik/lichtmaschine
01.04.03,01.04,3,Relais,automotive/elektrik-und-elektronik/relais
01.04.04,01.04,3,Sicherungen,automotive/elektrik-und-elektronik/sicherungen
01.04.05,01.04,3,Steuergeräte,automotive/elektrik-und-elektronik/steuergeraete
01.04.06,01.04,3,Sensoren,automotive/elektrik-und-elektronik/sensoren
01.04.07,01.04,3,Schalter,automotive/elektrik-und-elektronik/schalter
01.04.08,01.04,3,Kabel & Steckverbinder,automotive/elektrik-und-elektronik/kabel-und-steckverbinder
01.04.09,01.04,3,Diagnose,automotive/elektrik-und-elektronik/diagnose
01.05,01,2,Auspuffanlage,automotive/auspuffanlage
01.05.01,01.05,3,Abgaskrümmer,automotive/auspuffanlage/abgaskruemmer
01.05.02,01.05,3,Katalysatoren,automotive/auspuffanlage/katalysatoren
01.05.03,01.05,3,Dieselpartikelfilter,automotive/auspuffanlage/dieselpartikelfilter
01.05.04,01.05,3,Mittelschalldämpfer,automotive/auspuffanlage/mittelschalldaempfer
01.05.05,01.05,3,Endschalldämpfer,automotive/auspuffanlage/endschalldaempfer
01.05.06,01.05,3,Flexrohre,automotive/auspuffanlage/flexrohre
01.05.07,01.05,3,Lambdasonden,automotive/auspuffanlage/lambdasonden
01.05.08,01.05,3,AGR/EGR,automotive/auspuffanlage/agr-egr
01.05.09,01.05,3,Abgaszubehör,automotive/auspuffanlage/abgaszubehoer
01.06,01,2,Filter,automotive/filter
01.06.01,01.06,3,Ölfilter,automotive/filter/oelfilter
01.06.02,01.06,3,Luftfilter,automotive/filter/luftfilter
01.06.03,01.06,3,Innenraumfilter,automotive/filter/innenraumfilter
01.06.04,01.06,3,Kraftstofffilter,automotive/filter/kraftstofffilter
01.06.05,01.06,3,Getriebeölfilter,automotive/filter/getriebeoelfilter
01.06.06,01.06,3,Hydraulikfilter,automotive/filter/hydraulikfilter
01.06.07,01.06,3,Filterzubehör,automotive/filter/filterzubehoer
01.07,01,2,Kraftstoffsystem,automotive/kraftstoffsystem
