id,parent_id,level,name,slug
bz.01,,1,Automotive,automotive
bz.01.01,bz.01,2,Motor & Antrieb,automotive/motor-und-antrieb
bz.01.01.01,bz.01.01,3,Motor & Antrieb – PKW,automotive/motor-und-antrieb/motor-und-antrieb-pkw
bz.01.01.02,bz.01.01,3,Motor & Antrieb – SUV,automotive/motor-und-antrieb/motor-und-antrieb-suv
bz.01.01.03,bz.01.01,3,Motor & Antrieb – Transporter,automotive/motor-und-antrieb/motor-und-antrieb-transporter
bz.01.01.04,bz.01.01,3,Motor & Antrieb – LKW,automotive/motor-und-antrieb/motor-und-antrieb-lkw
bz.01.01.05,bz.01.01,3,Motor & Antrieb – Nutzfahrzeug,automotive/motor-und-antrieb/motor-und-antrieb-nutzfahrzeug
bz.01.01.06,bz.01.01,3,Motor & Antrieb – Oldtimer,automotive/motor-und-antrieb/motor-und-antrieb-oldtimer
bz.01.01.07,bz.01.01,3,Motor & Antrieb – Sport,automotive/motor-und-antrieb/motor-und-antrieb-sport
bz.01.01.08,bz.01.01,3,Motor & Antrieb – Universal,automotive/motor-und-antrieb/motor-und-antrieb-universal
bz.01.01.09,bz.01.01,3,Motor & Antrieb – OEM,automotive/motor-und-antrieb/motor-und-antrieb-oem
bz.01.01.10,bz.01.01,3,Motor & Antrieb – Aftermarket,automotive/motor-und-antrieb/motor-und-antrieb-aftermarket
bz.01.02,bz.01,2,Getriebe & Kupplung,automotive/getriebe-und-kupplung
bz.01.02.01,bz.01.02,3,Getriebe & Kupplung – PKW,automotive/getriebe-und-kupplung/getriebe-und-kupplung-pkw
bz.01.02.02,bz.01.02,3,Getriebe & Kupplung – SUV,automotive/getriebe-und-kupplung/getriebe-und-kupplung-suv
bz.01.02.03,bz.01.02,3,Getriebe & Kupplung – Transporter,automotive/getriebe-und-kupplung/getriebe-und-kupplung-transporter
bz.01.02.04,bz.01.02,3,Getriebe & Kupplung – LKW,automotive/getriebe-und-kupplung/getriebe-und-kupplung-lkw
bz.01.02.05,bz.01.02,3,Getriebe & Kupplung – Nutzfahrzeug,automotive/getriebe-und-kupplung/getriebe-und-kupplung-nutzfahrzeug
bz.01.02.06,bz.01.02,3,Getriebe & Kupplung – Oldtimer,automotive/getriebe-und-kupplung/getriebe-und-kupplung-oldtimer
